## MOW 0.1.3	mya	CC BY 4.0
04197391-n	mya:lemma	အင်္ကျီ
04200637-n	mya:lemma	ဖိနပ်ကြိုး
04204238-n	mya:lemma	ဈေးခြင်းတောင်း
04204238-n	mya:lemma	ဆွဲခြင်း
04241394-n	mya:lemma	ကွင်းထိုးဖိနပ်
04253437-n	mya:lemma	ဆပ်ပြာ
04298308-n	mya:lemma	လှေကား
04335435-n	mya:lemma	သံလမ်းရထား
04337974-n	mya:lemma	ကြိုး
04353803-n	mya:lemma	စုစုပေါင်း
04353803-n	mya:lemma	စုစုရရ
04371774-n	mya:lemma	ဒန်း
04379243-n	mya:lemma	စားပွဲ
04389033-n	mya:lemma	တင့်ကား
04389033-n	mya:lemma	တင့်ကားများ
04392113-n	mya:lemma	ပေကြိုး
04397768-n	mya:lemma	ရေနွေးအိုး
04401088-n	mya:lemma	တယ်လီဖုန်း
04403638-n	mya:lemma	မှန်ပြောင်း
04404412-n	mya:lemma	ရုပ်မြင်သံကြား
04405907-n	mya:lemma	ရုပ်မြင်သံကြား
04446276-n	mya:lemma	အိမ်သာ
04453156-n	mya:lemma	သွားတိုက်တံ
04453156-n	mya:lemma	သွားပွတ်တံ
04453298-n	mya:lemma	သွားတိုက်ဆေး
04453390-n	mya:lemma	သွားကြားထိုးတံ
04459362-n	mya:lemma	မျက်နှာသုတ်ပဝါ
04477825-n	mya:lemma	ဘဏ္ဍာတိုက်
04477825-n	mya:lemma	ငွေတိုက်
04493505-n	mya:lemma	ပြောင်း
04524313-n	mya:lemma	ယာဉ်
04527648-n	mya:lemma	ဝရန်တာ
04536866-n	mya:lemma	တယော
04555897-n	mya:lemma	နာရီ
04559451-n	mya:lemma	ဘုံပိုင်
04564698-n	mya:lemma	ကြောင်း
04574999-n	mya:lemma	ဘီး
04587404-n	mya:lemma	လေရဟတ်
04587559-n	mya:lemma	လေရဟတ်
04603081-n	mya:lemma	စက်ရုံ
04603081-n	mya:lemma	အလုပ်ရုံ
04603081-n	mya:lemma	ဝပ်ရှော့
04604276-n	mya:lemma	ဝက်ဘ်
04673965-n	mya:lemma	ရုပ်
04675193-n	mya:lemma	အသား
04677514-n	mya:lemma	ပုံ
04677514-n	mya:lemma	ပြင်
04677514-n	mya:lemma	အပြင်
04890112-n	mya:lemma	ဉာဏ
04924103-n	mya:lemma	အသက်
04924103-n	mya:lemma	အသက်အရွယ်
04946877-n	mya:lemma	အသား
04950537-n	mya:lemma	အသား
04954683-n	mya:lemma	ရည်
04956594-n	mya:lemma	အရောင်
04976952-n	mya:lemma	အသား
04981139-n	mya:lemma	အသံ
04981139-n	mya:lemma	အသံ
04981139-n	mya:lemma	သံ
04981941-n	mya:lemma	သံ
04981941-n	mya:lemma	အသံ
05053042-n	mya:lemma	သင်္ခါရ
05055278-n	mya:lemma	သင်္ခါရ
05064037-n	mya:lemma	ပုံ
05090441-n	mya:lemma	အတိုင်းအတာ
05121418-n	mya:lemma	နံပါတ်
05129565-n	mya:lemma	အတာ
05134547-n	mya:lemma	အနက် ၊ အချင့်
05136150-n	mya:lemma	အနံ
05238282-n	mya:lemma	အရေ
05246511-n	mya:lemma	ပြောင်း
05268112-n	mya:lemma	အသား
05282746-n	mya:lemma	သွား
05301072-n	mya:lemma	လျှာ
05302499-n	mya:lemma	ပါးစပ်
05307091-n	mya:lemma	စွယ်
05311054-n	mya:lemma	မျက်စိ
05313535-n	mya:lemma	မျက်ခုံး
05323889-n	mya:lemma	နားရွက်
05332802-n	mya:lemma	ကျောက်ကပ်
05385534-n	mya:lemma	အသည်း
05388805-n	mya:lemma	နှလုံး
05395690-n	mya:lemma	ဗိုက်
05474346-n	mya:lemma	အာရုံကြော
05481095-n	mya:lemma	ဦးနှောက်
05519085-n	mya:lemma	သားအိမ်
05534333-n	mya:lemma	အူ
05534712-n	mya:lemma	အူသိမ်
05535484-n	mya:lemma	အူမကြီး
05535869-n	mya:lemma	အူမကြီး
05540121-n	mya:lemma	ဦးခွံ
05547508-n	mya:lemma	လည်ချောင်း
05549576-n	mya:lemma	လက်ပပ်
05553288-n	mya:lemma	ရင်ဘတ်
05555688-n	mya:lemma	ခါး
05556943-n	mya:lemma	ဗိုက်
05558717-n	mya:lemma	ကျော
05563770-n	mya:lemma	လက်
05566504-n	mya:lemma	လက်ချောင်း
05573602-n	mya:lemma	ဒူး
05581693-n	mya:lemma	လက်သည်း
05585383-n	mya:lemma	အရိုးစု
05595083-n	mya:lemma	အဆစ်
05598147-n	mya:lemma	နှာခေါင်း
05599617-n	mya:lemma	မေးစေ့
05600637-n	mya:lemma	မျက်နှာ
05615028-n	mya:lemma	ယုတ္တိ
05636402-n	mya:lemma	ရုပ်လုံးသွင်းပညာ
05637558-n	mya:lemma	ပညာ
05637558-n	mya:lemma	အတတ်
05638063-n	mya:lemma	ပညာ
05638063-n	mya:lemma	အတတ်
05638987-n	mya:lemma	အတတ်
05660268-n	mya:lemma	စနစ်
05661996-n	mya:lemma	စနစ်
05664069-n	mya:lemma	ယုတ္တိ
05665146-n	mya:lemma	အတတ်
05671325-n	mya:lemma	အရေး
05671325-n	mya:lemma	အမှု
05688397-n	mya:lemma	အရေး
05688397-n	mya:lemma	အမှု
05693919-n	mya:lemma	မ
05718254-n	mya:lemma	သံ
05720248-n	mya:lemma	သံ
05720248-n	mya:lemma	အသံ
05752544-n	mya:lemma	ပညာ
05753564-n	mya:lemma	ပညာ
05768553-n	mya:lemma	အိပ်မက်
05793554-n	mya:lemma	အခြေ
05824739-n	mya:lemma	အထောက်အထား
05839024-n	mya:lemma	မျိုး
05846054-n	mya:lemma	စနစ်
05861067-n	mya:lemma	စုစုပေါင်း
05861067-n	mya:lemma	စုစုရရ
05867413-n	mya:lemma	အပိုင်း
05868272-n	mya:lemma	မဇ္ဇိမ
05869584-n	mya:lemma	တစ်လွှား
05898568-n	mya:lemma	စနစ်
05902327-n	mya:lemma	အတိုင်း
05902872-n	mya:lemma	စနစ်
05922651-n	mya:lemma	အဓိပ္ပါယ်
05922949-n	mya:lemma	အဓိပ္ပါယ်
05923566-n	mya:lemma	အဓိပ္ပါယ်
05938976-n	mya:lemma	အတိုင်း
05941423-n	mya:lemma	ဝါဒ
05943300-n	mya:lemma	ဝါဒ
05967977-n	mya:lemma	ပဉ္စလက်
05982152-n	mya:lemma	အကြံ
05982915-n	mya:lemma	အကြံ
05983801-n	mya:lemma	အရေး
05984287-n	mya:lemma	ပညာ
05984936-n	mya:lemma	ယဉ်ကျေးမှု
05985999-n	mya:lemma	ပညာ
05988498-n	mya:lemma	အမှောင်
05996646-n	mya:lemma	ဗေဒ
05999797-n	mya:lemma	သိပ္ပံ
06004067-n	mya:lemma	ဂဏန်း
06012726-n	mya:lemma	အက္ခရာသင်္ချာ
06066555-n	mya:lemma	ရုက္ခဗေဒ
06099269-n	mya:lemma	အီလက်ထရွန်နစ်
06099269-n	mya:lemma	အီလက်ထရွန်နစ်ပညာ
06144081-n	mya:lemma	ရှေးဟောင်းသုတေသန
06163751-n	mya:lemma	ယုတ္တိဗေဒ
06163751-n	mya:lemma	တက္ကဗေဒ
06212839-n	mya:lemma	ဝါဒ
06240244-n	mya:lemma	ဗုဒ္ဓဘာသာ
06256697-n	mya:lemma	စာမျက်နှာ
06263369-n	mya:lemma	စာပုံနှိပ်တိုက်
06278136-n	mya:lemma	သံ
06282651-n	mya:lemma	ဘာသာစကား
06282651-n	mya:lemma	စကား
06286395-n	mya:lemma	စကားလုံး
06300445-n	mya:lemma	ရင်းမြစ်
06303682-n	mya:lemma	ကြောင်းတူသံကွဲ
06303682-n	mya:lemma	သံကွဲကြောင်းတူ
06308436-n	mya:lemma	သင်္ချာပစ္စည်း
06319293-n	mya:lemma	နာမ
06320004-n	mya:lemma	တစ်ဦးဆိုင်နာမ်
06320004-n	mya:lemma	ဧကဝိဓနာမ်
06320569-n	mya:lemma	ကြိယာ
06320801-n	mya:lemma	ဝိသေသန
06325370-n	mya:lemma	နာမ်စား
06350127-n	mya:lemma	လက်ရေးတို
06359877-n	mya:lemma	စာ
06362953-n	mya:lemma	အရေး
06362953-n	mya:lemma	စာ
06372095-n	mya:lemma	ရှေးစကား
06377442-n	mya:lemma	ကဗျာ
06394865-n	mya:lemma	စာအုပ်
06405699-n	mya:lemma	စာ
06405891-n	mya:lemma	ရိုဇက်တာ ကျောက်စာ
06410904-n	mya:lemma	စာအုပ်
06414372-n	mya:lemma	ကျောင်းသုံးစာအုပ်
06430385-n	mya:lemma	ကျမ်းစာ
06470073-n	mya:lemma	စာရွက်စာတမ်း
06495328-n	mya:lemma	အချိန်စာရင်း
06496397-n	mya:lemma	အချိန်စာရင်း
06497459-n	mya:lemma	ခရာ
06497872-n	mya:lemma	ရောမအက္ခရာ
06536389-n	mya:lemma	ဘာသာပြန်
06601327-n	mya:lemma	အဓိပ္ပါယ်
06602472-n	mya:lemma	အဓိပ္ပါယ်
06602472-n	mya:lemma	အနက်
06607339-n	mya:lemma	မဟုတ်တရုတ်
06613686-n	mya:lemma	ရုပ်ရှင်
06613686-n	mya:lemma	ရုပ်ရှင်
06613686-n	mya:lemma	ရုပ်ရှင်
06613686-n	mya:lemma	ဘိုင်စကုတ်
06671484-n	mya:lemma	အကြံ
06671484-n	mya:lemma	အကြံဉာဏ်
06697331-n	mya:lemma	ဘွဲ့
06702458-n	mya:lemma	ပါရဂူဘွဲ့
06744396-n	mya:lemma	အနက်
06744396-n	mya:lemma	အဓိပ္ပါယ်
06746005-n	mya:lemma	အဖြေ
06756407-n	mya:lemma	မဟုတ်မဟတ်
06773434-n	mya:lemma	စာချုပ်
06775602-n	mya:lemma	ဗာဆိုင်းစာချုပ်
06778102-n	mya:lemma	ပြက်လုံး
06778102-n	mya:lemma	ရယ်စရာ
06778102-n	mya:lemma	သောလုံး
06778102-n	mya:lemma	ဟားကွက်
06778102-n	mya:lemma	အပြောင်အပြက်
06799897-n	mya:lemma	ကြောင်း
06799897-n	mya:lemma	အကြောင်း
06807198-n	mya:lemma	ဂဏန်း
06807657-n	mya:lemma	ရောမဂဏန်း
06828818-n	mya:lemma	အက္ခရာ
06830997-n	mya:lemma	အတိုကောက်
06843520-n	mya:lemma	။
06875288-n	mya:lemma	အလံ
06929742-n	mya:lemma	တရုတ်စကား
06935594-n	mya:lemma	လာအိုစာ
06937229-n	mya:lemma	ဗီယက်နမ်
06944348-n	mya:lemma	ရုရှားဘာသာ
06973334-n	mya:lemma	ပါဠိ
06999647-n	mya:lemma	အရုပ်
06999647-n	mya:lemma	ရုပ်
07012534-n	mya:lemma	စာကြောင်း
07019633-n	mya:lemma	ရုပ်သေး
07070429-n	mya:lemma	စကားကြီးစကားကျယ်
07081739-n	mya:lemma	စာသား
07086518-n	mya:lemma	စည်းချက်
07087777-n	mya:lemma	စကားကြီးစကားကျယ်
07091902-n	mya:lemma	အတိုကောက်
07092592-n	mya:lemma	ကဗျာ
07093489-n	mya:lemma	အဖွဲ့
07093603-n	mya:lemma	အဖွဲ့
07110615-n	mya:lemma	အသံ
07110615-n	mya:lemma	သံ
07151380-n	mya:lemma	ဆိုထုံး
07153838-n	mya:lemma	ဆိုထုံး
07153838-n	mya:lemma	စကားပုံ
07155661-n	mya:lemma	အသံဝဲ
07157273-n	mya:lemma	ဗန်းစကား
07157273-n	mya:lemma	ဗန်း
07196682-n	mya:lemma	အမေး
07221094-n	mya:lemma	ပုံ
07248801-n	mya:lemma	ကြော်ငြာစာ
07262942-n	mya:lemma	လက်ပတ်
07286368-n	mya:lemma	နိမိတ်
07355491-n	mya:lemma	သေခြင်း
07355491-n	mya:lemma	မရဏ
07355491-n	mya:lemma	အသေ
07368646-n	mya:lemma	သဗ္ဗကြတ်
07387509-n	mya:lemma	အသံ
07397355-n	mya:lemma	မိုးကြိုး
07397552-n	mya:lemma	မိုးကြိုး
07417405-n	mya:lemma	အရေးပေါ်
07452074-n	mya:lemma	အာဝါဟဝိဝါဟ
07452074-n	mya:lemma	အာဝါဟဝိဝါဟ
07457126-n	mya:lemma	အိုလံပစ်
07543288-n	mya:lemma	အချစ်
07569106-n	mya:lemma	မှုန့်
07577374-n	mya:lemma	မုန့်
07577374-n	mya:lemma	သရေစာ
07673397-n	mya:lemma	ဆီ
07704205-n	mya:lemma	ဆန်ပြုတ်
07710616-n	mya:lemma	အာလူး
07734744-n	mya:lemma	မှို
07737745-n	mya:lemma	မြေပဲ
07739125-n	mya:lemma	ပန်းသီး
07753275-n	mya:lemma	နာနတ်
07763987-n	mya:lemma	မင်းကွတ်
07766173-n	mya:lemma	လိုက်ချီး
07800091-n	mya:lemma	စာ
07800740-n	mya:lemma	ကျွဲစာ
07800740-n	mya:lemma	နွားစာ
07800740-n	mya:lemma	စာ
07804323-n	mya:lemma	စပါး
07804323-n	mya:lemma	ဆန်
07806221-n	mya:lemma	အသုပ်
07813107-n	mya:lemma	ဆား
07818277-n	mya:lemma	ကြက်သွန်ဖြူ
07840672-n	mya:lemma	အုန်းနို့
07840804-n	mya:lemma	ဥ
07844042-n	mya:lemma	နို့
07844604-n	mya:lemma	နို့
07856992-n	mya:lemma	ငါးပိ
07858978-n	mya:lemma	ပျားရည်
07859284-n	mya:lemma	သကြား
07891726-n	mya:lemma	ဝိုင်
07901587-n	mya:lemma	အရက်
07904395-n	mya:lemma	ဂျင်
07906284-n	mya:lemma	ဝီစကီ
07933274-n	mya:lemma	လက်ဖက်ရည်
07949463-n	mya:lemma	လူမျိုး
07965085-n	mya:lemma	အဖွဲ့
07967982-n	mya:lemma	လူမျိုး
08008335-n	mya:lemma	အဖွဲ့
08049401-n	mya:lemma	အဖွဲ့
08050678-n	mya:lemma	အစိုးရ
08110373-n	mya:lemma	မျိုး
08120235-n	mya:lemma	ငွေတိုက်
08164585-n	mya:lemma	အဖွဲ့
08168978-n	mya:lemma	နိုင်ငံ
08168978-n	mya:lemma	ပြည်
08172695-n	mya:lemma	ဥရောပ
08191230-n	mya:lemma	စစ်တပ်
08191701-n	mya:lemma	ရေတပ်
08196024-n	mya:lemma	လေတပ်
08199025-n	mya:lemma	တပ်
08209687-n	mya:lemma	ရဲ
08209687-n	mya:lemma	ပုလိပ်
08226699-n	mya:lemma	ရွာ
08233056-n	mya:lemma	အဖွဲ့
08238463-n	mya:lemma	တန်း
08238660-n	mya:lemma	တန်း
08248157-n	mya:lemma	သံစုံတီးဝိုင်း
08248157-n	mya:lemma	သံစုံတီးဝိုင်းကြီး
08256968-n	mya:lemma	ပါတီ
08276720-n	mya:lemma	ကျောင်း
08279524-n	mya:lemma	စစ်တက္ကသိုလ်
08304895-n	mya:lemma	ပြည်ထောင်စု
08304895-n	mya:lemma	အဖွဲ့
08322981-n	mya:lemma	အဖွဲ့
08324514-n	mya:lemma	အဖွဲ့
08399977-n	mya:lemma	တိုလီမိုလီ
08399977-n	mya:lemma	တို့တို့တိတိ
08411970-n	mya:lemma	ညကျောင်း
08418103-n	mya:lemma	အစိုင်
08420278-n	mya:lemma	ဘဏ်
08430203-n	mya:lemma	အကြောင်း
08430568-n	mya:lemma	ကြောင်း
08430568-n	mya:lemma	အကြောင်း
08431437-n	mya:lemma	တန်း
08435388-n	mya:lemma	စနစ်
08438533-n	mya:lemma	တော
08439022-n	mya:lemma	တော
08462320-n	mya:lemma	စာရင်းအင်း
08463969-n	mya:lemma	ရတနာ
08491027-n	mya:lemma	လိပ်စာ
08491027-n	mya:lemma	လိပ်မူ
08501114-n	mya:lemma	နယ်နိမိတ်
08505402-n	mya:lemma	နယ်နိမိတ်
08507558-n	mya:lemma	ရင်းမြစ်
08517676-n	mya:lemma	ကားမှတ်တိုင်
08518505-n	mya:lemma	မြို့တော်
08521623-n	mya:lemma	သုသာန်
08523483-n	mya:lemma	အလယ်
08544813-n	mya:lemma	ပြည်
08544813-n	mya:lemma	နိုင်ငံ
08544813-n	mya:lemma	ပြည်နယ်
08552138-n	mya:lemma	နယ်
08556491-n	mya:lemma	ခေတ်
08562620-n	mya:lemma	အရှေ့တိုင်း
08562757-n	mya:lemma	အရှေ့ဖျား ဒေသ
08572467-n	mya:lemma	ဦး
08588294-n	mya:lemma	တွင်း
08588294-n	mya:lemma	အတွင်း
08591592-n	mya:lemma	မြက်ခင်း
08598301-n	mya:lemma	မြက်ခင်းပြင်
08615149-n	mya:lemma	ဥယျာဉ်
08615374-n	mya:lemma	ဥယျာဉ်
08616311-n	mya:lemma	ကြောင်း
08619524-n	mya:lemma	ပရေရီမြက်ခင်းပြင်
08630985-n	mya:lemma	ဒေသ
08644722-n	mya:lemma	တော
08645033-n	mya:lemma	တော
08645847-n	mya:lemma	ဆာဗားနားမြက်ခင်းပြင်
08654360-n	mya:lemma	ပြည်နယ်
08672199-n	mya:lemma	မြို့နယ်
08679972-n	mya:lemma	ကြောင်း
08686979-n	mya:lemma	ကန်
08691669-n	mya:lemma	မြို့တော်
08715390-n	mya:lemma	ဗမာ
08715390-n	mya:lemma	မြန်မာပြည်
08715390-n	mya:lemma	ဗမာပြည်
08715390-n	mya:lemma	ပြည်ထောင်စုမြန်မာနိုင်ငံတော်
08715777-n	mya:lemma	ရန်ကုန်
08716738-n	mya:lemma	ကမ္ဘောဒီးယားနိုင်ငံ
08716738-n	mya:lemma	ကမ္ဗောဒီးယား
08716738-n	mya:lemma	ကမ္ဘောဒီးယား
08723006-n	mya:lemma	တရုတ်နိုင်ငံ
08723006-n	mya:lemma	တရုတ်
08723006-n	mya:lemma	တရုတ်ပြည်သူ့သမ္မတနိုင်ငံ
08724726-n	mya:lemma	ပေကျင်းမြို့
08725454-n	mya:lemma	ကွမ်ကျိုးမြို့
08730895-n	mya:lemma	ထိုင်ပေမြို့
08731423-n	mya:lemma	မကာအို
08732116-n	mya:lemma	ကိုလံဘီယာနိုင်ငံ
08761244-n	mya:lemma	ဒိန်းမတ်နိုင်ငံ
08764107-n	mya:lemma	နော်ဝေနိုင်ငံ
08766988-n	mya:lemma	ဂျာမနီနိုင်ငံ
08779504-n	mya:lemma	ဖင်လန်နိုင်ငံ
08780881-n	mya:lemma	ဂရိ
08780881-n	mya:lemma	ဂရိနိုင်ငံ
08780881-n	mya:lemma	ဂရိနိုင်ငံ
08792548-n	mya:lemma	အစ္စရေး
08801678-n	mya:lemma	အီတလီနိုင်ငံ
08806897-n	mya:lemma	ရောမ
08815858-n	mya:lemma	ခရိုအေးရှားနိုင်ငံ
08817235-n	mya:lemma	မွန်တီနီဂရိုးနိုင်ငံ
08845555-n	mya:lemma	ဩစတြီးယားနိုင်ငံ
08849753-n	mya:lemma	ဘယ်လ်ဂျီယမ်နိုင်ငံ
08852209-n	mya:lemma	ဘူတန်
08853741-n	mya:lemma	ဘရာဇီးနိုင်ငံ
08873622-n	mya:lemma	လန်ဒန်မြို့
08896092-n	mya:lemma	ဘရူနိုင်းနိုင်ငံ
08900535-n	mya:lemma	အိန္ဒိယနိုင်ငံ
08900535-n	mya:lemma	အိန္ဒိယ
08903049-n	mya:lemma	နယူးဒေလီမြို့
08906374-n	mya:lemma	နီပေါနိုင်ငံ
08907606-n	mya:lemma	အင်ဒိုနီးရှားနိုင်ငံ
08909719-n	mya:lemma	ဂျကာတာမြို့
08921850-n	mya:lemma	ဂျပန်နိုင်ငံ
08921850-n	mya:lemma	ဂျပန်
08929922-n	mya:lemma	ပြင်သစ်နိုင်ငံ
08932568-n	mya:lemma	ပါရီမြို့
08948346-n	mya:lemma	ဂိုင်ယာနာနိုင်ငံ
08949093-n	mya:lemma	နယ်သာလန်နိုင်ငံ
08952190-n	mya:lemma	ဟန်ဂေရီနိုင်ငံ
08953324-n	mya:lemma	အိုက်စလန်နိုင်ငံ
08954611-n	mya:lemma	ကိုရီးယား
08955626-n	mya:lemma	ကိုရီးယားသမ္မတနိုင်ငံ
08961402-n	mya:lemma	လူဇင်ဘတ်နိုင်ငံ
08964810-n	mya:lemma	မလေး ကျွန်းဆွယ်
08981244-n	mya:lemma	ဖိလစ်ပိုင်နိုင်ငံ
08984788-n	mya:lemma	ပေါ်တူဂီနိုင်ငံ
09003284-n	mya:lemma	ဆိုဗီယက်ယူနီယံ
09004068-n	mya:lemma	မော်စကို
09006413-n	mya:lemma	ရုရှားနိုင်ငံ
09011151-n	mya:lemma	ဘီလာရုဇ်နိုင်ငံ
09012297-n	mya:lemma	အက်စတိုးနီးယားနိုင်ငံ
09017526-n	mya:lemma	အာမေးနီးယားနိုင်ငံ
09019726-n	mya:lemma	ကာဇက်စတန်
09019726-n	mya:lemma	ကာဇက်စတန်
09020440-n	mya:lemma	ကာဂျစ်စတန်
09023321-n	mya:lemma	စပိန်နိုင်ငံ
09031653-n	mya:lemma	ဆွစ်ဇာလန်နိုင်ငံ
09036880-n	mya:lemma	ဘန်ကောက်မြို့
09037394-n	mya:lemma	တူနီးရှားနိုင်ငံ
09039411-n	mya:lemma	တူရကီ
09044862-n	mya:lemma	အမေရိကန်ပြည်ထောင်စု
09044862-n	mya:lemma	အမေရိကန်
09044862-n	mya:lemma	အမေရိက
09161803-n	mya:lemma	ဗင်နီဇွဲလားနိုင်ငံ
09161803-n	mya:lemma	ဗင်နီဇွဲလားနိုင်ငံ
09189411-n	mya:lemma	အာဖရိက
09207288-n	mya:lemma	အာရှတိုက်
09211266-n	mya:lemma	ဩစတြေးလျ
09217230-n	mya:lemma	ကမ်းခြေ
09241247-n	mya:lemma	ရေလက်ကြား
09241247-n	mya:lemma	မြစ်ကြော
09241247-n	mya:lemma	ရေကြောင်း
09252970-n	mya:lemma	ကြယ်စု
09254614-n	mya:lemma	တိုက်
09263619-n	mya:lemma	ပင်လယ်သေ
09267758-n	mya:lemma	မြောင်း
09270894-n	mya:lemma	ကမ္ဘာ
09270894-n	mya:lemma	ကမ္ဘာ
09270894-n	mya:lemma	ကမ္ဘာဂြိုဟ်
09270894-n	mya:lemma	ကမ္ဘာမြေကြီး
09270894-n	mya:lemma	ကမ္ဘာလုံး
09277010-n	mya:lemma	ဧဝရက်တောင်
09289331-n	mya:lemma	ရေခဲမြစ်
09305898-n	mya:lemma	ရေပူစမ်း
09308572-n	mya:lemma	ရေခဲတောင်
09325824-n	mya:lemma	ကျောက်
09334396-n	mya:lemma	ကုန်း
09335240-n	mya:lemma	မြေ
09358358-n	mya:lemma	စန္ဒါ
09358358-n	mya:lemma	စန်း
09358358-n	mya:lemma	လ
09358358-n	mya:lemma	သော်တာ
09359803-n	mya:lemma	တောင်
09369169-n	mya:lemma	သိုက်
09369169-n	mya:lemma	အသိုက်
09370773-n	mya:lemma	နိုင်အာဂရာ ရေတံခွန်
09372504-n	mya:lemma	မြောက်အမေရိက
09376526-n	mya:lemma	ပင်လယ်ကြမ်းပြင်
09385911-n	mya:lemma	အပိုင်း
09397391-n	mya:lemma	ကန်
09397391-n	mya:lemma	အင်း
09397391-n	mya:lemma	အိုင်
09403734-n	mya:lemma	တောင်တန်း
09417365-n	mya:lemma	တန်း
09436708-n	mya:lemma	ကောင်းကင်
09437454-n	mya:lemma	စောင်း
09437454-n	mya:lemma	ကုန်းစောင်း
09443453-n	mya:lemma	စိမ့်စမ်း
09444783-n	mya:lemma	ကြယ်
09444783-n	mya:lemma	ကြယ်ပွင့်
09446115-n	mya:lemma	ပင်လယ်လက်ကြား
09446115-n	mya:lemma	ရေလက်ကြား
09450163-n	mya:lemma	သူရကန်
09463919-n	mya:lemma	မြက်ခင်း
09466280-n	mya:lemma	လောက
09467185-n	mya:lemma	ယူရယ်တောင်တန်း
09468604-n	mya:lemma	တောင်ကြား
09470762-n	mya:lemma	သောကြာဂြိုဟ်
09490825-n	mya:lemma	ဘီလူး
09532214-n	mya:lemma	ဘုရား
09532214-n	mya:lemma	ဗုဒ္ဓ
09534187-n	mya:lemma	ကွမ်ယင်
09534187-n	mya:lemma	ကွမ်ယင်မယ်တော်
09542339-n	mya:lemma	ငရဲသား
09542339-n	mya:lemma	နတ်ဆိုး
09542339-n	mya:lemma	ငရဲမင်း
09605289-n	mya:lemma	လူကြီး
09605289-n	mya:lemma	အရွယ်ရောက်ပြီးသူ
09636339-n	mya:lemma	ကပ္ပလီ
09712696-n	mya:lemma	မလေး
09712696-n	mya:lemma	မလေးလူမျိုး
09712696-n	mya:lemma	ပသျှူး
09712696-n	mya:lemma	ပသျှူးလူမျိုး
09763784-n	mya:lemma	အသိ
09763784-n	mya:lemma	အသိအကျွမ်း
09763784-n	mya:lemma	သူငယ်ချင်း
09763784-n	mya:lemma	အသိမိတ်ဆွေ
09765278-n	mya:lemma	မင်းသား
09765278-n	mya:lemma	ဇာတ်ဆောင်
09765278-n	mya:lemma	ဇါတ်သမား
09767700-n	mya:lemma	မင်းသမီး, မင်းသမီးချော, ဇါတ်သူမ
09767700-n	mya:lemma	မင်းသမီးချော
09767700-n	mya:lemma	ဇါတ်သူမ
09785042-n	mya:lemma	မဟာမိတ်
09801864-n	mya:lemma	ပညာသင်
09801864-n	mya:lemma	အလုပ်သင်
09801864-n	mya:lemma	တပည့်လက်သား
09827683-n	mya:lemma	နို့စို့ကလေး
09853467-n	mya:lemma	အကို
09854218-n	mya:lemma	အမ
09859152-n	mya:lemma	ပန်းပဲသမား
09866115-n	mya:lemma	စာရင်းကိုင်
09876454-n	mya:lemma	အကို
09876454-n	mya:lemma	ညီ
09882007-n	mya:lemma	စီးပွားရေးသမား
09918248-n	mya:lemma	ကလေး
09918554-n	mya:lemma	ကလေး
09936215-n	mya:lemma	လုပ်ဖေါ်လုပ်ဖက်
09954639-n	mya:lemma	တိုးတိုးဖော်
09954639-n	mya:lemma	လူယုံ
10004282-n	mya:lemma	သွားဆရာဝန်
10020890-n	mya:lemma	ဆရာဝန်
10080869-n	mya:lemma	အဖေ
10080869-n	mya:lemma	ဖခင်
10080869-n	mya:lemma	အဖ
10084295-n	mya:lemma	သူငယ်မ
10093658-n	mya:lemma	ရေလုပ်သား
10112129-n	mya:lemma	ဘုန်းကြီး
10112591-n	mya:lemma	မိတ်
10112591-n	mya:lemma	သင်္ဂဟ
10142391-n	mya:lemma	အဘိုး
10142391-n	mya:lemma	ဘိုးဘိုး
10142747-n	mya:lemma	ဘွားဘွား
10150940-n	mya:lemma	ဧည့်သည်
10164233-n	mya:lemma	ကျောင်းအုပ်ဆရာကြီး
10193967-n	mya:lemma	လင်
10206887-n	mya:lemma	ပဏ္ဍိတ
10212501-n	mya:lemma	စကားပြန်
10257948-n	mya:lemma	စာကြည့်တိုက်မှူး
10267311-n	mya:lemma	ညီ
10267865-n	mya:lemma	ညီမ
10314836-n	mya:lemma	ဝမ်းဆွဲ
10325013-n	mya:lemma	လူစွမ်းကောင်း
10327696-n	mya:lemma	မွန်လူမျိုး‌
10332385-n	mya:lemma	အမေ
10332385-n	mya:lemma	အမိ
10353355-n	mya:lemma	တူ
10357613-n	mya:lemma	တူမ
10405694-n	mya:lemma	လူနာ
10443032-n	mya:lemma	ရေပိုက်သမား
10449412-n	mya:lemma	ရဲမေ
10450303-n	mya:lemma	နိုင်ငံရေးသမား
10485440-n	mya:lemma	ပြည့်တန်ဆာ
10523076-n	mya:lemma	သုတေသီ
10557854-n	mya:lemma	စာတတ်ပေတတ်
10557854-n	mya:lemma	ပညာရှင်
10557854-n	mya:lemma	သုတေသီ
10559192-n	mya:lemma	ကျောင်းသား
10559288-n	mya:lemma	ကျောင်းသား
10559288-n	mya:lemma	ကျောင်းသူ
10559603-n	mya:lemma	ကျောင်းသူ
10564098-n	mya:lemma	ရုပ်ရှင် မင်းသား
10564098-n	mya:lemma	ရုပ်ရှင်သရုပ်ဆောင်
10599806-n	mya:lemma	တေးသံရှင်
10599806-n	mya:lemma	အဆိုတော်
10624074-n	mya:lemma	သား
10648696-n	mya:lemma	မင်းသား
10648696-n	mya:lemma	ဇာတ်လိုက်မင်းသား
