## MOW 0.1.3	mya	CC BY 4.0
00632949-a	mya:lemma	မှား
00633778-a	mya:lemma	မှား
00636921-n	mya:lemma	သုတေသန
00637259-v	mya:lemma	တွက်
00637259-v	mya:lemma	တွက်ချက်
00659259-a	mya:lemma	ပြား
00668805-v	mya:lemma	လက်ခံ
00729285-n	mya:lemma	စာ
00749230-a	mya:lemma	လွယ်
00757080-n	mya:lemma	မှားယွင်းခြင်း
00764222-v	mya:lemma	သဘောတူ
00770437-v	mya:lemma	ပြု
00785596-n	mya:lemma	စပ်တူလုပ်ငန်း
00795863-v	mya:lemma	တား
00800242-v	mya:lemma	ဖျက်
00809654-v	mya:lemma	တိမ်း
00809654-v	mya:lemma	တိမ်းရှောင်
00809654-v	mya:lemma	ရှောင်တိမ်း
00811375-v	mya:lemma	တိမ်း
00811375-v	mya:lemma	တိမ်းရှောင်
00811375-v	mya:lemma	ရှောင်တိမ်း
00812952-a	mya:lemma	စော
00817311-v	mya:lemma	ဝန်ခံ
00824767-v	mya:lemma	မြည်
00824767-v	mya:lemma	မြည်တွန်တောက်တီး
00829107-v	mya:lemma	စာသင်
00829107-v	mya:lemma	သင်
00844941-v	mya:lemma	တွတ်
00844941-v	mya:lemma	မြည်တွန်တောက်တီး
00852506-v	mya:lemma	နောက်
00852506-v	mya:lemma	ပြောင်
00853633-v	mya:lemma	သော
00853633-v	mya:lemma	နောက်
00853633-v	mya:lemma	ပြောင်
00853633-v	mya:lemma	ရွှတ်
00853633-v	mya:lemma	ပြက်
00868910-n	mya:lemma	တွက်ချက်ခြင်း
00871942-v	mya:lemma	နိမိတ်ပြ
00872886-v	mya:lemma	အကြံပေး
00872886-v	mya:lemma	အကြံဉာဏ်ပေ
00877327-v	mya:lemma	သုတေသနပြု
00884466-n	mya:lemma	သင်တန်း
00895501-n	mya:lemma	စစ်သင်တန်း
00921300-v	mya:lemma	ပြ
00933420-n	mya:lemma	အတတ်
00941990-v	mya:lemma	ပြော
00949288-v	mya:lemma	ပေါင်း
00959827-v	mya:lemma	ယောဇနာ
00962567-n	mya:lemma	ပြည်တွင်းစစ်
00973077-n	mya:lemma	စစ်
00986766-a	mya:lemma	လုံး
00990855-a	mya:lemma	သွယ်
01009240-v	mya:lemma	ဆို
01020731-v	mya:lemma	ဖြည့်သွင်း
01028748-v	mya:lemma	မှည့်
01028748-v	mya:lemma	ပညတ်
01028748-v	mya:lemma	အမည်မှည့်
01028748-v	mya:lemma	သမုတ်
01038332-a	mya:lemma	ပြည်တွင်း
01052248-a	mya:lemma	မွှေး
01080900-a	mya:lemma	များ
01090225-n	mya:lemma	အလှူ
01090335-v	mya:lemma	ရန်ဖြစ်
01094725-n	mya:lemma	စီးပွား
01111418-a	mya:lemma	လက်လွယ်
01114434-a	mya:lemma	လက်လွယ်
01131224-n	mya:lemma	ဝတ်ကြီးဝတ်ငယ်
01143838-v	mya:lemma	အမဲလိုက်
01166351-v	mya:lemma	စား
01168468-v	mya:lemma	စား
01169704-v	mya:lemma	စုပ်
01182654-n	mya:lemma	အမှု
01184932-a	mya:lemma	လေးလံ
01185740-v	mya:lemma	မနက်စာစား
01205696-v	mya:lemma	စပ်
01206218-v	mya:lemma	တို့
01206218-v	mya:lemma	တို့ထိ
01206218-v	mya:lemma	ကိုထိ
01206218-v	mya:lemma	ထိ
01209487-n	mya:lemma	မ
01214265-v	mya:lemma	ယူ
01232738-v	mya:lemma	နှိပ်
01233020-a	mya:lemma	ပြား
01234625-v	mya:lemma	မြှုပ်
01234625-v	mya:lemma	မြှုပ်နှံ
01239040-a	mya:lemma	ပြား
01247240-a	mya:lemma	ပူ
01251128-a	mya:lemma	အေး
01255967-v	mya:lemma	ပိုင်း
01269506-a	mya:lemma	မွတ်သိပ်
01273016-v	mya:lemma	နှိပ်
